city,horizon_day,MAE,RMSE,MAPE,WAPE,direction_accuracy
Санкт-Петербург,25,4.5004053,6.3595686,84.438446,37.024456,0.5327380952380952
Санкт-Петербург,26,4.898288,6.71166,81.05594,40.05864,0.4732142857142857
Санкт-Петербург,27,4.588802,6.413128,86.62818,37.55449,0.5238095238095238
Санкт-Петербург,28,4.4969845,6.4269176,83.94089,36.79298,0.47619047619047616
Санкт-Петербург,29,4.540945,6.384854,87.83955,37.120186,0.5297619047619048
Санкт-Петербург,30,4.589894,6.404523,89.990654,37.47094,0.5059523809523809
Сочи,1,4.496814,6.1121063,148.23317,35.02108,
Сочи,2,4.654826,6.1492047,130.6078,36.306374,0.4851190476190476
Сочи,3,4.711692,6.223472,141.82422,36.774315,0.49702380952380953
Сочи,4,4.576767,6.1160655,113.85507,35.756744,0.5
Сочи,5,4.6196995,6.2118263,131.36461,36.075108,0.5059523809523809
Сочи,6,4.5387764,5.9452457,149.00853,35.579414,0.5089285714285714
Сочи,7,4.8660088,6.2773633,135.84602,38.05469,0.47023809523809523
Сочи,8,4.4973364,5.986627,140.42921,35.15386,0.5178571428571429
Сочи,9,4.583731,5.9817877,133.11926,35.817398,0.5
Сочи,10,4.480007,6.0562944,140.00356,35.056667,0.49404761904761907
Сочи,11,4.5926223,6.0165706,138.91203,35.94501,0.4732142857142857
Сочи,12,4.36195,5.881551,156.24335,34.179817,0.5089285714285714
Сочи,13,4.393,5.847318,134.82884,34.48431,0.4880952380952381
Сочи,14,4.4455867,5.8717556,150.16376,34.891026,0.5089285714285714
Сочи,15,4.575505,5.9120274,156.29948,35.877895,0.5
Сочи,16,4.488371,5.866714,128.41145,35.18415,0.4880952380952381
Сочи,17,4.4724455,5.847791,157.63455,35.12394,0.49702380952380953
Сочи,18,4.468188,5.837513,139.23042,35.136803,0.5029761904761905
Сочи,19,4.5271873,5.8858895,156.81163,35.602917,0.49107142857142855
Сочи,20,4.343216,5.803544,140.57127,34.14916,0.4880952380952381
Сочи,21,4.497657,5.855068,147.08502,35.312656,0.49404761904761907
Сочи,22,4.904412,6.231886,124.076935,38.501427,0.4791666666666667
Сочи,23,4.5528593,6.119428,188.66289,35.716614,0.5208333333333334
Сочи,24,4.4509134,5.8512692,156.24066,34.873333,0.48214285714285715
Сочи,25,4.822262,6.0954504,148.18633,37.793713,0.46726190476190477
Сочи,26,4.956696,6.1828637,133.87541,38.86103,0.4880952380952381
Сочи,27,4.3885913,5.847221,153.62865,34.39937,0.4851190476190476
Сочи,28,4.772962,6.117083,194.7874,37.446606,0.4851190476190476
Сочи,29,4.722072,6.019913,164.12503,37.074654,0.5
Сочи,30,4.6318855,5.966355,142.42699,36.39328,0.5059523809523809
